objectid,filename,youtubeid,title,format,description,creator,recipient,date,date-is-approximate?,item_information,subject,location,latitude,longitude,related_publication,publisher-digital,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language,relation
mciver001-1,April_04_1943_1a.jpg,,McIver Letter 1-1,image/jpeg,Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about Primary School flight training and environment on base in Georgia.,"McIver, William; Fimiani, Christin",,1943-04-04,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Savannah, GA",,,,,,,,,,,Image;StillImage,eng,
mciver001-2,April_04_1943_1b.jpg,,McIver Letter 1-2,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about social friendships,  inside jokes between both parties, and inquiries on address information.","McIver, William; Fimiani, Christin",,1943-04-04,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Savannah, GA",,,,,,,,,,,Image;StillImage,eng,
mciver001-3,April_04_1943_2a.jpg,,McIver Letter 1-3,image/jpeg,Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains inside jokes and closing remarks from William McIver.,"McIver, William; Fimiani, Christin",,1943-04-04,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Savannah, GA",,,,,,,,,,,Image;StillImage,eng,
mciver002-1,August_01_1943_1a.jpg,,McIver Letter 2-1,image/jpeg,Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains light-hearted teasing regarding another serviceman that Anne Duffy was corresponding with and inside jokes.,"McIver, William; Fimiani, Christin",,1943-08-01,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver002-2,August_01_1943_1b.jpg,,McIver Letter 2-2,image/jpeg,Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information regarding correspondence and light-hearted teasing regarding another serviceman that Anne Duffy was corresponding with.,"McIver, William; Fimiani, Christin",,1943-08-01,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver002-3,August_01_1943_2a.jpg,,McIver Letter 2-3,image/jpeg,Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information regarding correspondence.,"McIver, William; Fimiani, Christin",,1943-08-01,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver002-4,August_01_1943_2b.jpg,,McIver Letter 2-4,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, personal experience, and light-hearted teasing.","McIver, William; Fimiani, Christin",,1943-08-01,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver003-1,August_07_1943_1a.jpg,,McIver Letter 3-1,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about flight training, machine gun use, and light-hearted teasing.","McIver, William; Fimiani, Christin",,1943-08-07,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver003-2,August_07_1943_1b.jpg,,McIver Letter 3-1,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains information about environment at training, light-hearted teasing between parties, and friend inquiries.","McIver, William; Fimiani, Christin",,1943-08-07,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver003-3,August_07_1943_2a.jpg,,McIver Letter 3-3,image/jpeg,"Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains inquiries about friends, light-hearted teasing, and social updates.","McIver, William; Fimiani, Christin",,1943-08-07,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,
mciver003-4,August_07_1943_2b.jpg,,McIver Letter 3-4,image/jpeg,Scanned image of handwritten letter from William McIver to Anne Duffy during time training in the Army Air Corps during World War II. Contains closing remarks by William McIver.,"McIver, William; Fimiani, Christin",,1943-08-07,,single-page; photographs,"Letters; Family Records; World War, 1939-1945","Kingman, AZ",,,,,,,,,,,Image;StillImage,eng,